"","OutsideTemp","Wind","TankTemp","InsideTemp","EnergyCirculationPump","GreenEnergy","DeltaTemp"
"295",13,2.5,54.96744926,21.60125044,0,0.956177511111111,0.07243993
"296",13.45,2.75,54.96398794,21.71733863,0,0.995213626944444,0.11608819
"297",13.9,3,54.96093817,21.81776627,0,1.03098039361111,0.10042764
"298",14.55,3.25,54.95815533,22.47682641,0,1.06170154388889,0.65906014
"299",15.2,3.5,54.95551232,23.05430278,0,1.08896473277778,0.57747637
"300",15.85,3.75,54.95297984,23.33293901,0,1.10574172388889,0.27863623
"301",16.5,4,54.95055283,23.53788937,0,1.1192153275,0.20495036
"302",16.55,4.25,54.94821059,23.69560319,0,1.13498370861111,0.15771382
"303",16.6,4.5,54.94594124,23.81746579,0,1.14767250611111,0.1218626
"304",16.65,4.75,54.94373806,23.93507764,0,1.15125017166667,0.11761185
"305",16.7,5,54.94159132,24.05847379,0,1.15180209388889,0.12339615
"306",16.825,4.75,54.93948556,24.1939871,0,1.14861947083333,0.13551331
"307",16.95,4.5,54.93741086,24.34480358,0,1.14238950055556,0.15081648
"308",17.075,4.25,54.93535772,24.50320022,0,1.12636167666667,0.15839664
"309",17.2,4,54.93330786,24.66585781,0,1.10719172972222,0.16265759
"310",17.325,4,54.84512938,25.83125629,0,0.734934663333333,0.07293305
"311",17.15,4,54.84111227,25.89813679,0,0.674050456666667,0.0668805
"312",16.975,4,54.8370852,25.94934833,0,0.603792091111111,0.05121154
"313",9.025,2.25,54.9976915,21.66620267,0,0.673755388055556,0.13198358
"314",9.65,2.5,54.99314416,21.76706479,0,0.755348373055556,0.10086212
"315",10.275,2.75,54.98860075,21.86371629,0,0.815491506666667,0.0966515
"316",10.9,3,54.98406766,21.95311532,0,0.873271318333333,0.08939903
"317",11.65,3,54.97955206,22.07953677,0,0.927352012222222,0.12642145
"318",12.4,3,54.97556114,22.22292772,0,0.978219050833333,0.14339095
"319",13.15,3,54.97288461,22.33500066,0,1.01480089805556,0.11207294
"320",13.9,3,54.96999011,22.46633779,0,1.04789788916667,0.13133713
"321",14.375,3.25,54.96742573,23.19123192,0,1.07987355388889,0.72489413
"322",14.85,3.5,54.964944,23.5121041,0,1.10844682638889,0.32087218
"323",15.325,3.75,54.96258369,23.93184591,0,1.12003296555556,0.41974181
"324",15.8,4,54.96032485,24.16964332,0,1.13389936305556,0.23779741
"325",16.1,4,54.9581421,24.33526124,0,1.1461351,0.16561792
"326",16.4,4,54.95603111,24.48330673,0,1.15519026305556,0.14804549
"327",16.7,4,54.95398324,24.62888804,0,1.15446963777778,0.14558131
"328",17,4,54.95198585,24.77687849,0,1.1506844025,0.14799045
"329",17.175,4,54.95002483,24.93095807,0,1.15124346722222,0.15407958
"330",17.35,4,54.94809792,25.09058415,0,1.14268173138889,0.15962608
"331",17.525,4,54.9461954,25.24930341,0,1.12520596166667,0.15871926
"332",17.7,4,54.94429358,25.4118046,0,1.10460194833333,0.16250119
"333",18.575,3,54.88685621,26.64986885,0,0.725563505,0.08222938
"334",18.55,3,54.88308244,26.7181632,0,0.664670303611111,0.06829435
"335",18.525,3,54.87930022,26.77364148,0,0.594175411111111,0.05547828
"336",8.4,4.75,54.99442518,21.85041858,0,0.269179719888889,0.03697574
"337",8.9,4.5,54.98988867,21.89233227,0,0.311312024444444,0.04191369
"338",9.4,4.25,54.98535709,21.92418926,0,0.335795118611111,0.03185699
"339",9.9,4,54.9808342,21.96425873,0,0.359487611111111,0.04006947
"340",10.325,4.25,54.97631916,22.00074799,0,0.382625319166667,0.03648926
"341",10.75,4.5,54.97181624,22.03052772,0,0.404990115833333,0.02977973
"342",11.175,4.75,54.96732857,22.06764427,0,0.42110531,0.03711655
"343",11.6,5,54.96284571,22.09025406,0,0.41894015,0.02260979
"344",12.125,5,54.95836907,22.12879528,0,0.431911873888889,0.03854122
"345",12.65,5,54.95389832,22.17621132,0,0.4441280875,0.04741604
"346",13.175,5,54.94943378,22.23200287,0,0.47809466,0.05579155
"347",13.7,5,54.9449813,22.29332438,0,0.531257610277778,0.06132151
"348",14.125,5,54.94054454,22.80248264,0,0.565014621388889,0.50915826
"349",14.55,5,54.93615024,23.26536326,0,0.5958643675,0.46288062
"350",14.975,5,54.93206213,23.39491931,0,0.637648654444444,0.12955605
"351",15.4,5,54.92836198,23.51750099,0,0.675583384444444,0.12258168
"352",15.775,5.25,54.92477773,23.6426767,0,0.729955966944445,0.12517571
"353",16.15,5.5,54.92137432,23.82733731,0,0.762632564166667,0.18466061
"354",16.525,5.75,54.9180835,23.91792229,0,0.748581096388889,0.09058498
"355",16.9,6,54.91483673,24.07249453,0,0.733161868611111,0.15457224
