"","OutsideTemp","Wind","TankTemp","InsideTemp","EnergyCirculationPump","GreenEnergy","DeltaTemp"
"139",3.4,5,54.20546535,18.99980461,0.00382477,0,-0.00020578
"140",3.05,5,54.19984456,18.99954237,0.004708522,0,-0.00026224
"141",2.7,5,54.21604863,18.99983355,0.003416635,0,0.00029118
"142",2.35,5,54.26847543,18.99959201,0.00344837,0,-0.00024154
"143",2,5,54.28269132,18.9988593,0.003531298,0,-0.00073271
"144",2.275,5.25,54.28092877,18.99909348,0.003524973,0,0.00023418
"145",2.55,5.5,54.27573921,19.00045541,0.003515908,0,0.00136193
"146",2.825,5.75,54.26982137,18.99985303,0.003501496,0,-0.00060238
"147",3.1,6,54.21681412,18.99968439,0.004312914,0,-0.00016864
"148",2.875,6,54.19505975,19.00056093,0.003526738,0,0.00087654
"149",2.65,6,54.21399489,18.99961859,0.003574863,0,-0.00094234
"150",2.425,6,54.21381348,18.99940551,0.003647938,0,-0.00021308
"151",2.2,6,54.20462738,18.99905028,0.003695538,0,-0.00035523
"152",2.075,6.25,53.60797323,18.99999265,0.012225861,0,0.00094237
"153",1.95,6.5,53.29417636,19.00009634,0.011199094,0,0.00010369
"154",1.825,6.75,53.26788072,19.00049051,0.009891011,0,0.00039417
"155",1.7,7,53.28678959,19.00059059,0.009610753,0,0.00010008
"156",1.5,6.5,53.31931881,19.00024265,0.00951401,0,-0.00034794
"157",1.3,6,53.34346644,19.00002703,0.009517964,0,-0.00021562
"158",1.1,5.5,53.35712684,18.9993552,0.009541368,0,-0.00067183
"159",0.9,5,53.36417496,19.00095529,0.009554257,0,0.00160009
"160",0.75,5,53.3670651,19.00005116,0.009577165,0,-0.00090413
"161",0.6,5,53.36616881,18.99939033,0.009617678,0,-0.00066083
"162",0.45,5,53.36358659,18.99928104,0.009632195,0,-0.00010929
"163",0.3,5,53.35936458,19.00023697,0.009679347,0,0.00095593
"164",0.075,4.75,53.35418862,18.99976617,0.009700508,0,-0.0004708
"165",-0.15,4.5,53.34823964,18.99949635,0.009746551,0,-0.00026982
"166",-0.375,4.25,53.34173829,18.99950338,0.009775809,0,7.03e-06
"167",-0.6,4,53.33499632,19.00006956,0.009817243,0,0.00056618
"168",-0.6,4.25,53.42038943,18.89706876,0.008125104,0,-0.1030008
"169",-0.6,4.5,53.47349641,18.76979143,0.008517774,0,-0.12727733
"170",-0.6,4.75,53.52074407,18.76799798,0.007935366,0.041760599,-0.00179345
"171",-0.6,5,53.56305923,18.76881384,0.007869168,0.103679713,0.00081586
"172",-0.6,4.5,53.79614951,17.47925291,0.003478104,0.182559655,-1.28956093
"173",-0.6,4,54.09239482,16.99680474,0.003286893,0.256934626,-0.48244817
"174",-0.6,3.5,54.25945888,16.87449129,0.003110092,0.360034655,-0.12231345
"175",-0.6,3,54.3600763,16.77690196,0.002932496,0.468555269,-0.09758933
"176",-0.35,3.25,54.22687179,16.76048172,0.002787712,0.580030732,-0.01642024
"177",-0.1,3.5,53.89900628,16.84061348,0.002679968,0.692934699,0.08013176
"178",0.15,3.75,53.58402712,16.95265515,0.002628868,0.742379767,0.11204167
"179",0.4,4,53.27470582,17.04900501,0.002640499,0.763974866,0.09634986
"180",0.675,4,52.96612279,17.13965924,0.00268015,0.814425774,0.09065423
"181",0.95,4,52.65978308,17.23666151,0.002673946,0.8619833,0.09700227
"182",1.225,4,52.36021994,17.33548064,0.002635779,0.881797042,0.09881913
"183",1.5,4,52.06923627,17.42889844,0.002592603,0.898089968,0.0934178
"184",1.775,3.75,51.78740104,17.50359013,0.002538935,0.910949038,0.07469169
"185",2.05,3.5,51.51471217,17.64387472,0.002482398,0.920387242,0.14028459
"186",2.325,3.25,51.25038295,17.76640154,0.002441748,0.907088606,0.12252682
"187",2.6,3,50.99302689,17.87682062,0.002400288,0.889679691,0.11041908
"188",2.85,3.5,50.74142268,17.96676106,0.002383285,0.864796596,0.08994044
"189",3.1,4,50.4955174,18.04533739,0.002339057,0.817909132,0.07857633
"190",3.35,4.5,50.25612886,18.11887234,0.002303603,0.776234147,0.07353495
"191",3.6,5,50.02176019,18.18566521,0.002291504,0.72984443,0.06679287
"192",3.6,5,51.20386892,18.24861058,0.002294957,0.678938401,0.06294537
"193",3.6,5,52.88929605,18.31800293,0.002295067,0.618361397,0.06939235
"194",3.6,5,53.73647398,18.37494259,0.002281215,0.525729142,0.05693966
"195",3.6,5,54.16293771,18.41165095,0.002276149,0.446921867,0.03670836
"196",3.525,5,53.92411764,19.89315886,0.010003266,0.370940762,1.48150791
"197",3.45,5,53.75796102,19.79080863,0.008590499,0.290209089,-0.10235023
"198",3.375,5,53.69596552,19.69804276,0.008902558,0.215292149,-0.09276587
"199",3.3,5,53.64905232,19.69625261,0.007970332,0.15138751,-0.00179015
"200",3,5,53.72686526,19.70027491,0.006277517,0,0.0040223
"201",2.7,5,53.80108421,19.70239283,0.006523603,0,0.00211792
"202",2.4,5,53.80867541,19.7024923,0.006660286,0,9.95e-05
"203",0,3,53.33739038,19.71562061,0.010779362,0,0.00132
"204",0.125,3,53.66746783,19.06016939,0.002798608,0,-0.65545122
"205",0.25,3,54.05521975,18.99998487,0.003099086,0,-0.06018452
"206",0.375,3,54.24494505,18.99975255,0.003117705,0,-0.00023232
"207",0.5,3,54.31969955,18.99982626,0.003256056,0,7.37e-05
"208",0.4,3.25,54.34738398,19.00102126,0.003269713,0,0.001195
"209",0.3,3.5,54.34718043,19.00087181,0.003419975,0,-0.00014945
"210",0.2,3.75,54.33313395,19.00074123,0.003445334,0,-0.00013058
